Maior	R$ 4.762.926.995,25	Vale
Menor	-R$ 1.807.432.634,46	Localiza
Media	R$ 165.190.210,48	
Média de quem subiu	R$ 448.164.250,23	
Média de quem desceu	-R$ 181.109.141,75	
		
		
		
		
		
Segmento	Variação	Variação de quem Subiu
Siderurgia	R$ 489.935.930,93	R$ 489.935.930,93
Mineração	R$ 4.940.442.965,55	R$ 4.940.442.965,55
Petróleo	R$ 6.093.288.832,26	R$ 6.093.288.832,26
Papel e Celulose	R$ 722.946.282,71	R$ 722.946.282,71
Energia	R$ 368.265.294,40	R$ 1.209.821.623,57
Shopping Centers	R$ 117.732.680,08	R$ 117.732.680,08
Banco	R$ 3.740.512.018,78	R$ 3.740.512.018,78
Saúde	R$ 60.321.469,88	R$ 453.917.907,01
Química	R$ 69.054.317,64	R$ 69.054.317,64
Aviação	-R$ 37.540.997,06	R$ 65.452.205,55
Educação	R$ 54.641.872,47	R$ 72.295.838,99
Construção	-R$ 47.419.559,27	R$ 37.525.872,38
Moda	-R$ 24.449.852,20	R$ 41.021.792,09
Alimentos	R$ 407.833.683,09	R$ 407.833.683,09
Varejo	-R$ 556.533.527,56	R$ 237.187.009,24
Telecomunicações	R$ 256.118.562,08	R$ 292.938.114,42
Logística	R$ 233.902.674,79	R$ 233.902.674,79
Meios de Pagamento	R$ 43.657.683,38	R$ 43.657.683,38
Imobiliário	R$ 4.400.604,27	R$ 18.068.446,61
Holding	R$ 416.092.244,42	R$ 416.092.244,42
Tecnologia	R$ 6.067.508,90	R$ 15.598.886,65
Bebidas	R$ 0,00	R$ 0,00
Seguros	-R$ 26.297.880,21	R$ 0,00
Saneamento	-R$ 15.725.678,56	R$ 0,00
Automação	-R$ 118.230.410,44	R$ 0,00
Agronegócio	-R$ 9.468.663,68	R$ 0,00
Infraestrutura	-R$ 39.743.554,31	R$ 0,00
Aeronáutica	-R$ 233.651.943,50	R$ 0,00
Cosméticos	-R$ 193.280.001,21	R$ 0,00
Bolsa de Valores	-R$ 1.173.785.666,36	R$ 0,00
Farmacêutica	-R$ 208.257.014,20	R$ 0,00
Açúcar e Álcool	-R$ 79.432.785,74	R$ 0,00
Aluguel de Carros	-R$ 1.807.432.634,46	R$ 0,00
Turismo	-R$ 73.557.408,06	R$ 0,00
		
Resultado	Variação	
Subiu	R$ 19.719.227.010,14	
Estável	R$ 0,00	
Desceu	-R$ 6.318.561.745,56	
		
		
		
		
Análise por faixa etária	Varição	Quantidade de empresas
Entre 50 e 100 anos	R$ 11.203.676.198,47	34
Abaixo de 50 anos	R$ 2.379.139.160,21	40
Acima de 100 anos	-R$ 202.408.309,86	7
